<MN>
Ada	KRJB	106.5 FM
Mahnomen	KRJM	101.5 FM
Aitkin	KKIN	94.3 FM
Albert Lea	KATE	1450 AM
Alexandria	KULO	94.3 FM
Austin	KAUS	1480 AM
Austin	KAUS	99.9 FM
Bemidji	KBUN	1450 AM
Bemidji	KBUN	94.9 FM
Brainerd	KBLB	93.3 FM
Buffalo	KRWC	1360 AM
Crookston	KROX	1260 AM
Detroit Lakes	KDLM	1340 AM
Duluth	WGEE	970 AM
Duluth	KDAL	610 AM
Ely	WELY	94.5 FM
Fairmont	KSUM	1370 AM
Glencoe	KTWN	1310 AM
Glenwood	KMGK	107.1 FM
Grand Rapids	KOZY	1320 AM
Little Falls	KLTF	960 AM
Mankato	KMKO	95.7 FM
Marshall	KMHL	1400 AM
Minneapolis/St. Paul	KSTP	1500 AM
Minneapolis/St. Paul	KBEM	88.5 AM
Montevideo	KDMA	1460 AM
New Prague	KDRS	95.5 FM
Pipestone	KLOH	1050 AM
Preston	KVGO	104.3 FM
Red Wing	KCUE	1250 AM
Rochester	KROC	1340 AM
St. Cloud	KXSS	1390 AM
Thief River Falls	KKAQ	1460 AM
Willmar	KVKK	1070 AM
Willmar	KRVY	97.3 FM
Windom	KDOM	1580 AM
Windom	KDOM	94.3 FM
Winona	KWNO	1230 AM
Worthington	KWOA	730 AM
